<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;30;20210712;150000;297.2500000;298.4800000;297.0500000;297.6400000;6.128.520
GAZP;30;20210712;153000;297.6300000;297.8500000;297.4000000;297.5600000;2.208.040
GAZP;30;20210712;160000;297.5900000;297.8800000;297.3500000;297.6400000;1.936.130
GAZP;30;20210712;163000;297.6900000;297.8600000;297.4400000;297.4900000;954.890
GAZP;30;20210712;170000;297.5000000;297.7000000;297.1100000;297.6000000;1.527.470
GAZP;30;20210712;173000;297.5900000;297.8400000;297.2500000;297.7800000;1.327.710
GAZP;30;20210712;180000;297.7800000;298.0000000;297.4200000;297.7300000;1.652.060
GAZP;30;20210712;183000;297.7400000;297.9000000;297.3100000;297.3200000;1.144.860
GAZP;30;20210712;190000;297.3300000;297.8000000;296.5000000;296.5000000;3.999.940
GAZP;30;20210712;193000;296.7700000;297.1900000;296.7300000;297.0200000;445.220
GAZP;30;20210712;200000;297.0200000;297.1400000;296.8500000;296.8700000;310.170
GAZP;30;20210712;203000;296.8600000;297.0700000;296.8100000;297.0000000;161.280
GAZP;30;20210712;210000;297.0000000;297.1200000;296.8800000;296.9400000;230.710
GAZP;30;20210712;213000;297.0000000;297.1000000;296.9100000;296.9800000;316.520
GAZP;30;20210712;220000;296.9800000;297.3500000;296.9800000;297.1300000;404.010
GAZP;30;20210712;223000;297.2600000;297.4100000;297.1100000;297.3800000;152.060
GAZP;30;20210712;230000;297.3700000;297.3900000;296.9500000;297.0100000;231.420
GAZP;30;20210712;233000;297.0200000;297.3000000;297.0000000;297.1200000;97.050
GAZP;30;20210713;000000;297.1100000;297.4000000;297.1000000;297.3900000;205.220
GAZP;30;20210713;103000;297.7700000;297.7700000;295.6300000;297.0200000;6.706.960
GAZP;30;20210713;110000;297.0000000;297.0000000;295.4400000;295.4500000;2.627.630
GAZP;30;20210713;113000;295.5000000;295.5900000;294.9600000;295.0500000;2.637.730
GAZP;30;20210713;120000;295.0500000;295.8000000;295.0000000;295.6500000;1.987.330
GAZP;30;20210713;123000;295.6500000;295.9300000;295.1500000;295.2300000;1.631.470
GAZP;30;20210713;130000;295.1900000;295.4500000;294.5000000;294.6100000;2.514.920
